type,node_id,parent_id,planet_id,depth,size,x,y,z,r,g,b,image_id
image,,5_node_663,5,2,1,8.081995010375977,5.212461471557617,4.493862628936768,,,,Image_1342.jpg
image,,5_node_663,5,2,1,7.762172222137451,3.9898955821990967,4.545233726501465,,,,Image_3949.jpg
image,,5_node_663,5,2,1,7.558125972747803,5.317994117736816,5.019068241119385,,,,Image_5269.jpg
image,,5_node_663,5,2,1,8.30383586883545,4.149951934814453,4.557717800140381,,,,Image_5109.jpg
image,,5_node_663,5,2,1,7.3655548095703125,3.8649916648864746,5.04663610458374,,,,Image_2781.jpg
image,,5_node_663,5,2,1,8.14798355102539,4.211910247802734,4.4516119956970215,,,,Image_169.jpg
image,,5_node_664,5,3,1,8.325366020202637,3.8314692974090576,4.640002727508545,,,,Image_6411.jpg
image,,5_node_664,5,3,1,8.187915802001953,4.08407735824585,4.525367736816406,,,,Image_6010.jpg
image,,5_node_664,5,3,1,8.21265697479248,3.6178226470947266,4.641743183135986,,,,Image_5916.jpg
image,,5_node_664,5,3,1,8.222881317138672,3.738269090652466,4.623169898986816,,,,Image_2316.jpg
image,,5_node_664,5,3,1,8.25136947631836,3.661024808883667,4.660797595977783,,,,Image_5198.jpg
image,,5_node_664,5,3,1,8.201552391052246,3.682037591934204,4.594224452972412,,,,Image_1455.jpg
image,,5_node_664,5,3,1,8.15477466583252,3.827664852142334,4.582021713256836,,,,Image_2208.jpg
image,,5_node_664,5,3,1,8.265763282775879,3.904167413711548,4.536472320556641,,,,Image_1092.jpg
image,,5_node_664,5,3,1,8.185609817504883,3.845590353012085,4.576383113861084,,,,Image_2881.jpg
image,,5_node_664,5,3,1,8.15392780303955,3.7885618209838867,4.574354648590088,,,,Image_1825.jpg
image,,5_node_664,5,3,1,8.187161445617676,3.7013587951660156,4.6250176429748535,,,,Image_717.jpg
image,,5_node_664,5,3,1,8.185622215270996,3.7445359230041504,4.5964837074279785,,,,Image_6477.jpg
image,,5_node_664,5,3,1,8.172953605651855,3.8017454147338867,4.5758233070373535,,,,Image_4983.jpg
